Day fraction since midnight on 5/8/2018,Sec,Min,Source Pressure (Pa),Turbidity Effluent (),Turbidimeter Influent (),BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.48839759,1090.001664,18.1666944,31839.00586,1.28,7.7859,0.99999947,0.14210526,0.80305263
0.48845544,1094.999904,18.2499984,31874.30859,1.28,7.6821,0.99999947,0.14210526,0.80305263
0.48851333,1100.0016,18.33336,31900.67383,1.28,7.7122,0.99999947,0.14210526,0.80305263
0.48857119,1105.000704,18.4166784,31923.41797,1.28,7.8324,0.99999947,0.14210526,0.80305263
0.48862906,1110.000672,18.5000112,31960.04492,1.28,7.7776,0.99999947,0.14210526,0.80305263
0.48868692,1114.999776,18.5833296,31952.77344,1.28,7.9307,0.99999947,0.14210526,0.80305263
0.48874482,1120.002336,18.6667056,31966.04492,1.28,8.0209,0.99999947,0.14210526,0.80305263
0.48880267,1125.000576,18.7500096,31992.17188,1.28,8.0363,0.99999947,0.14210526,0.80305263
0.48886054,1130.000544,18.8333424,32033.3457,1.28,8.0155,0.99999947,0.14210526,0.80305263
0.48891842,1135.001376,18.9166896,32027.10547,1.28,7.976,0.99999947,0.14210526,0.80305263
0.48897629,1140.001344,19.0000224,32018.47461,1.28,7.8771,0.99999947,0.14210526,0.80305263
0.48903416,1145.001312,19.0833552,32063.97656,1.28,8.2651,0.99999947,0.14210526,0.80305263
0.48909203,1150.00128,19.166688,32097.78711,1.28,8.1673,0.99999947,0.14210526,0.80305263
0.4891499,1155.001248,19.2500208,32106.37695,1.28,8.0335,0.99999947,0.14210526,0.80305263
0.48920776,1160.000352,19.3333392,32131.07617,1.28,8.1681,0.99999947,0.14210526,0.80305263
0.48926564,1165.001184,19.4166864,32143.02539,1.28,8.0161,0.99999947,0.14210526,0.80305263
0.4893235,1170.000288,19.5000048,32171.61328,1.28,8.1115,0.99999947,0.14210526,0.80305263
0.48938138,1175.00112,19.583352,32160.2207,1.27,8.1708,0.99999947,0.14210526,0.80305263
0.48943925,1180.001088,19.6666848,32187.39648,1.27,7.9651,0.99999947,0.14210526,0.80305263
0.4894971,1184.999328,19.7499888,32229.40039,1.27,8.0145,0.99999947,0.14210526,0.80305263
0.48955498,1190.00016,19.833336,32228.52148,1.27,7.8792,0.99999947,0.14210526,0.80305263
0.48961286,1195.000992,19.9166832,32259.20898,1.27,7.8489,0.99999947,0.14210526,0.80305263
0.48967072,1200.000096,20.0000016,32281.66211,1.27,8.0696,0.99999947,0.14210526,0.80305263
0.48972859,1205.000064,20.0833344,32309.35547,1.27,8.0235,0.99999947,0.14210526,0.80305263
0.48978645,1209.999168,20.1666528,32311.69922,1.27,8.1892,0.99999947,0.14210526,0.80305263
0.48984435,1215.001728,20.2500288,32317.01758,1.27,8.0108,0.99999947,0.14210526,0.80305263
0.4899022,1219.999968,20.3333328,32330.05664,1.27,8.0679,0.99999947,0.14210526,0.80305263
0.48996009,1225.001664,20.4166944,32349.13086,1.27,8.0029,0.99999947,0.14210526,0.80305263
0.49001794,1229.999904,20.4999984,32391.11719,1.27,7.7713,0.99999947,0.14210526,0.80305263
0.49007582,1235.000736,20.5833456,32369.94531,1.27,7.8635,0.99999947,0.14210526,0.80305263
