Day fraction,Seconds,Min,Source Pressure (Pa),Turbidity Effluent,Turbidity Influent,BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.56247163,1025.000352,17.0833392,30846.55273,1.28,5.1746,0.99999947,0.14210526,0.80305263
0.56252949,1029.999456,17.1666576,30844.43945,1.28,5.1472,0.99999947,0.14210526,0.80305263
0.56258739,1035.002016,17.2500336,30844.22461,1.28,5.2848,0.99999947,0.14210526,0.80305263
0.56264525,1040.00112,17.333352,30827.68555,1.28,5.2933,0.99999947,0.14210526,0.80305263
0.56270313,1045.001952,17.4166992,30841.27148,1.28,5.604,0.99999947,0.14210526,0.80305263
0.56276099,1050.001056,17.5000176,30814.5957,1.28,5.4374,0.99999947,0.14210526,0.80305263
0.56281886,1055.001024,17.5833504,30787.23242,1.28,5.5317,0.99999947,0.14210526,0.80305263
0.56287672,1060.000128,17.6666688,30785.4707,1.28,5.4228,0.99999947,0.14210526,0.80305263
0.56293459,1065.000096,17.7500016,30777.36328,1.28,5.3558,0.99999947,0.14210526,0.80305263
0.56299246,1070.000064,17.8333344,30782.83398,1.28,5.328,0.99999947,0.14210526,0.80305263
0.56305034,1075.000896,17.9166816,30762.08984,1.28,5.3897,0.99999947,0.14210526,0.80305263
0.5631082,1080,18,30749.63672,1.28,5.3842,0.99999947,0.14210526,0.80305263
0.56316608,1085.000832,18.0833472,30762.65625,1.28,5.3173,0.99999947,0.14210526,0.80305263
0.56322395,1090.0008,18.16668,30735.56836,1.28,5.3032,0.99999947,0.14210526,0.80305263
0.56328182,1095.000768,18.2500128,30698.64648,1.28,5.2941,0.99999947,0.14210526,0.80305263
0.56333969,1100.000736,18.3333456,30753.29883,1.28,5.1816,0.99999947,0.14210526,0.80305263
0.56339755,1104.99984,18.416664,30729.73633,1.28,5.1587,0.99999947,0.14210526,0.80305263
0.56345543,1110.000672,18.5000112,30701.82617,1.28,5.165,0.99999947,0.14210526,0.80305263
0.56351332,1115.002368,18.5833728,30697.93945,1.28,5.1874,0.99999947,0.14210526,0.80305263
0.56357116,1119.999744,18.6666624,30707.88477,1.28,5.186,0.99999947,0.14210526,0.80305263
0.56362904,1125.000576,18.7500096,30682.4043,1.28,5.3377,0.99999947,0.14210526,0.80305263
0.56368693,1130.002272,18.8333712,30688.38281,1.28,5.2271,0.99999947,0.14210526,0.80305263
0.56374479,1135.001376,18.9166896,30704.04102,1.28,5.2398,0.99999947,0.14210526,0.80305263
0.56380267,1140.002208,19.0000368,30648.75,1.28,5.1672,0.99999947,0.14210526,0.80305263
0.56386052,1145.000448,19.0833408,30672.19922,1.28,5.3326,0.99999947,0.14210526,0.80305263
0.56391838,1149.999552,19.1666592,30634.30469,1.28,5.258,0.99999947,0.14210526,0.80305263
0.56397625,1154.99952,19.249992,30624.74219,1.28,5.288,0.99999947,0.14210526,0.80305263
0.56403413,1160.000352,19.3333392,30645.92578,1.28,5.287,0.99999947,0.14210526,0.80305263
0.56409198,1164.998592,19.4166432,30656.85547,1.28,5.3817,0.99999947,0.14210526,0.80305263
0.56414987,1170.000288,19.5000048,30622.96094,1.28,5.5157,0.99999947,0.14210526,0.80305263
0.56420776,1175.001984,19.5833664,30649.78516,1.28,5.4581,0.99999947,0.14210526,0.80305263
0.56426561,1180.000224,19.6666704,30632.22461,1.28,5.2982,0.99999947,0.14210526,0.80305263
0.56432349,1185.001056,19.7500176,30622.125,1.28,5.4067,0.99999947,0.14210526,0.80305263
0.56438135,1190.00016,19.833336,30657.74219,1.28,5.4433,0.99999947,0.14210526,0.80305263
0.56443923,1195.000992,19.9166832,30638.87891,1.28,5.3662,0.99999947,0.14210526,0.80305263
0.56449709,1200.000096,20.0000016,30657.72266,1.28,5.4635,0.99999947,0.14210526,0.80305263
0.56455498,1205.001792,20.0833632,30671.41406,1.28,5.3893,0.99999947,0.14210526,0.80305263
0.56461283,1210.000032,20.1666672,30685.52734,1.28,5.5093,0.99999947,0.14210526,0.80305263
0.56467072,1215.001728,20.2500288,30702.70313,1.28,5.5165,0.99999947,0.14210526,0.80305263
0.56472858,1220.000832,20.3333472,30661.60742,1.28,5.5198,0.99999947,0.14210526,0.80305263
0.56478645,1225.0008,20.41668,30723.05273,1.28,5.3561,0.99999947,0.14210526,0.80305263
0.56484432,1230.000768,20.5000128,30709.18945,1.28,5.6863,0.99999947,0.14210526,0.80305263
0.56490218,1234.999872,20.5833312,30729.49414,1.28,5.5819,0.99999947,0.14210526,0.80305263
0.56496005,1239.99984,20.666664,30752.22461,1.27,5.5103,0.99999947,0.14210526,0.80305263
0.56501794,1245.001536,20.7500256,30716.21484,1.27,5.4565,0.99999947,0.14210526,0.80305263
0.5650758,1250.00064,20.833344,30756.35352,1.27,5.5359,0.99999947,0.14210526,0.80305263
0.56513366,1254.999744,20.9166624,30782.23633,1.27,5.5187,0.99999947,0.14210526,0.80305263
0.56519153,1259.999712,20.9999952,30762.75781,1.27,5.3868,0.99999947,0.14210526,0.80305263
0.56524941,1265.000544,21.0833424,30781.8457,1.27,5.4427,0.99999947,0.14210526,0.80305263
0.56530727,1269.999648,21.1666608,30805.41797,1.27,5.3364,0.99999947,0.14210526,0.80305263
0.56536515,1275.00048,21.250008,30811.68555,1.27,5.5927,0.99999947,0.14210526,0.80305263
0.56542304,1280.002176,21.3333696,30814.38867,1.27,5.5651,0.99999947,0.14210526,0.80305263
0.5654809,1285.00128,21.416688,30834.80469,1.27,5.4858,0.99999947,0.14210526,0.80305263
0.56553878,1290.002112,21.5000352,30853.23828,1.27,5.3922,0.99999947,0.14210526,0.80305263
0.56559662,1294.999488,21.5833248,30837.34961,1.27,5.3582,0.99999947,0.14210526,0.80305263
0.56565452,1300.002048,21.6667008,30863.94922,1.27,5.2809,0.99999947,0.14210526,0.80305263
0.56571237,1305.000288,21.7500048,30865.85156,1.27,5.1952,0.99999947,0.14210526,0.80305263
0.56577025,1310.00112,21.833352,30901.01172,1.27,5.3131,0.99999947,0.14210526,0.80305263
0.5658281,1314.99936,21.916656,30864.52148,1.27,5.3231,0.99999947,0.14210526,0.80305263
0.56588599,1320.001056,22.0000176,30841.4707,1.27,5.3021,0.99999947,0.14210526,0.80305263
0.56594386,1325.001024,22.0833504,30904.18945,1.27,5.4992,0.99999947,0.14210526,0.80305263
0.56600172,1330.000128,22.1666688,30894.60156,1.27,5.359,0.99999947,0.14210526,0.80305263
0.56605959,1335.000096,22.2500016,30882.1582,1.27,5.2703,0.99999947,0.14210526,0.80305263
0.56611747,1340.000928,22.3333488,30885.40234,1.27,5.2099,0.99999947,0.14210526,0.80305263
0.56617534,1345.000896,22.4166816,30889.86523,1.27,5.1437,0.99999947,0.14210526,0.80305263
0.5662332,1350,22.5,30945.79883,1.27,5.2971,0.99999947,0.14210526,0.80305263
0.56629109,1355.001696,22.5833616,30929.07813,1.27,5.5325,0.99999947,0.14210526,0.80305263
0.56634894,1359.999936,22.6666656,30921.98047,1.27,5.5008,0.99999947,0.14210526,0.80305263
0.56640681,1364.999904,22.7499984,30968.37891,1.27,5.4832,0.99999947,0.14210526,0.80305263
