Day fraction,Seconds,Min,Source Pressure (Pa),Turbidity Effluent,Turbidity Influent,BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.68556187,1315.001088,21.9166848,33705.28125,1.29,5.7189,0.99999947,0.14210526,0.80305263
0.68561975,1320.00192,22.000032,33700.50781,1.29,5.6521,0.99999947,0.14210526,0.80305263
0.68567762,1325.001888,22.0833648,33702.89453,1.29,5.6599,0.99999947,0.14210526,0.80305263
0.68573547,1330.000128,22.1666688,33691.58594,1.29,5.5708,0.99999947,0.14210526,0.80305263
0.68579336,1335.001824,22.2500304,33685.79297,1.29,5.5191,0.99999947,0.14210526,0.80305263
0.68585122,1340.000928,22.3333488,33682.34766,1.29,5.5599,0.99999947,0.14210526,0.80305263
0.68590909,1345.000896,22.4166816,33658.35938,1.29,5.4984,0.99999947,0.14210526,0.80305263
0.68596695,1350,22.5,33668.78516,1.29,5.6176,0.99999947,0.14210526,0.80305263
0.68602478,1354.996512,22.5832752,33624.6875,1.29,5.5993,0.99999947,0.14210526,0.80305263
0.6860827,1360.0008,22.66668,33640.73828,1.29,5.6288,0.99999947,0.14210526,0.80305263
0.68614059,1365.002496,22.7500416,33614.59766,1.29,5.5626,0.99999947,0.14210526,0.80305263
